#date,category,value
21/12/2019,Friends & Family,10
20/12/2019,Entertainment,-58
20/12/2019,Food & Drinks,-0.59
19/12/2019,Food & Drinks,-8.5
18/12/2019,Food & Drinks,-11.58
17/12/2019,Food & Drinks,-3.54
17/12/2019,Food & Drinks,-13.2
16/12/2019,Food & Drinks,-21.33
16/12/2019,Garbage & Recycling,-42.5
15/12/2019,Food & Drinks,-2.48
15/12/2019,Friends & Family,10
14/12/2019,Food & Drinks,-16.64
13/12/2019,Internet,-24.95
12/12/2019,Food & Drinks,-5.75
11/12/2019,Electricity,-147
11/12/2019,Food & Drinks,-11.85
11/12/2019,Appartment,-119.54
10/12/2019,Toys & Electronics,-4.7
10/12/2019,Food & Drinks,-2.25
09/12/2019,Food & Drinks,-10.95
09/12/2019,Toys & Electronics,9.7
08/12/2019,Food & Drinks,-2.48
07/12/2019,Food & Drinks,-16.22
06/12/2019,Food & Drinks,-7.41
05/12/2019,Work,98
05/12/2019,Food & Drinks,-2.65
04/12/2019,Work,979.99
04/12/2019,Food & Drinks,-12.8
03/12/2019,Food & Drinks,-3.85
02/12/2019,Appartment,-40
02/12/2019,Friends & Family,24.78
02/12/2019,Food & Drinks,-8.95
01/12/2019,Friends & Family,350
30/11/2019,Food & Drinks,-27.19
29/11/2019,Appartment,-276.92
29/11/2019,Food & Drinks,-17.23
29/11/2019,Haircuts,-114.99
29/11/2019,Work,2364.46
28/11/2019,Food & Drinks,-5.85
27/11/2019,Food & Drinks,-9.60
26/11/2019,Food & Drinks,-12.08
25/11/2019,Food & Drinks,-8.6
25/11/2019,Toys & Electronics,-1.21
24/11/2019,Food & Drinks,-1.5
23/11/2019,Food & Drinks,-3.77
23/11/2019,Food & Drinks,-15
23/11/2019,Entertainment,-12
22/11/2019,Food & Drinks,-17.57
22/11/2019,Toys & Electronics,8
21/11/2019,Food & Drinks,-2.85
20/11/2019,Toys & Electronics,-1.91
20/11/2019,Toys & Electronics,-1.47
20/11/2019,Toys & Electronics,-1.21
20/11/2019,Toys & Electronics,-1.91
20/11/2019,Toys & Electronics,-1.14
20/11/2019,Food & Drinks,-12.4
19/11/2019,Food & Drinks,-17.07
19/11/2019,Medical & Insurances,20.27
18/11/2019,Food & Drinks,-4.73
17/11/2019,Food & Drinks,-2.25
16/11/2019,Friends & Family,100
16/11/2019,Food & Drinks,-12.34
15/11/2019,Food & Drinks,-40.73
15/11/2019,Medical & Insurances,-26.30
14/11/2019,Internet,-24.95
14/11/2019,Food & Drinks,-10.65
13/11/2019,Food & Drinks,-3.35
12/11/2019,Electricity,-147
11/11/2019,Food & Drinks,-3
10/11/2019,Entertainment,-15.5
10/11/2019,Entertainment,-7
10/11/2019,Entertainment,-7
09/11/2019,Entertainment,-84
09/11/2019,Entertainment,-7
09/11/2019,Entertainment,-7
09/11/2019,Entertainment,-17
09/11/2019,Entertainment,-15.5
08/11/2019,Food & Drinks,-40.73
07/11/2019,Work,142.92
07/11/2019,Food & Drinks,-5.3
06/11/2019,Food & Drinks,-3.45
05/11/2019,Food & Drinks,-11.5
05/11/2019,Friends & Family,3.5
04/11/2019,Friends & Family,24.78
04/11/2019,Appartment,-40
04/11/2019,Food & Drinks,-7
02/11/2019,Food & Drinks,-18.65
02/11/2019,Food & Drinks,-6
01/11/2019,Friends & Family,350
01/11/2019,Friends & Family,0.64
01/11/2019,Food & Drinks,-7.60
31/10/2019,Appartment,-278.46
31/10/2019,Work,1914.65
31/10/2019,Food & Drinks,-5.26
30/10/2019,Medical & Insurances,-26.19
30/10/2019,Medical & Insurances,-4.5
30/10/2019,Food & Drinks,-9.18
29/10/2019,Food & Drinks,-8.02
29/10/2019,Medical & Insurances,21.45
28/10/2019,Food & Drinks,-1.63
27/10/2019,Food & Drinks,-3.78
26/10/2019,Food & Drinks,-8.23
24/10/2019,Food & Drinks,-8.23
23/10/2019,Food & Drinks,-14.72
22/10/2019,Toys & Electronics,120
22/10/2019,Food & Drinks,-11.12
21/10/2019,Food & Drinks,-12.39
21/10/2019,Food & Drinks,-1.91
20/10/2019,Friends & Family,20
20/10/2019,Entertainment,-12
20/10/2019,Food & Drinks,-4.29
19/10/2019,Food & Drinks,-3.85
19/10/2019,Food & Drinks,-3.62
19/10/2019,Food & Drinks,-6.7
18/10/2019,Food & Drinks,-2.09
18/10/2019,Food & Drinks,-5.24
17/10/2019,Food & Drinks,-28.65
17/10/2019,Friends & Family,20
16/10/2019,Food & Drinks,-9.42
15/10/2019,Food & Drinks,-1.09
15/10/2019,Food & Drinks,-2.99
15/10/2019,Internet,-24.95
14/10/2019,Toys & Electronics,16.7
